Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
185,70,79,38,20,45,65,26,50,3,51,63,34,55,43,7,69,64,29,8,30,x2,tails
186,17,33,50,67,65,45,11,43,59,49,69,7,42,77,75,36,40,80,26,18,reg,tails
187,19,24,2,60,69,18,70,21,61,67,53,13,7,68,22,46,33,37,10,40,x3,heads
188,14,80,48,79,56,57,59,67,35,54,25,20,13,21,9,43,70,26,24,1,x2,evens
189,22,69,25,32,58,17,47,3,62,35,21,74,8,34,78,49,76,55,73,39,reg,evens
190,58,31,72,17,22,62,64,34,52,10,68,65,76,18,73,49,30,75,26,28,x2,tails
191,50,38,8,33,39,79,41,51,24,68,20,78,36,1,35,40,67,15,26,9,x4,heads
192,10,75,58,57,44,24,78,22,28,49,32,7,73,14,17,65,55,60,26,29,reg,evens
193,76,7,20,5,56,51,33,50,63,19,54,29,48,65,67,49,53,62,40,74,x5,tails
194,13,63,9,14,76,47,49,59,43,65,2,19,20,74,46,21,40,16,37,32,x3,heads
195,15,62,64,54,16,36,56,11,24,70,74,27,79,3,33,40,38,8,1,31,x2,heads
196,35,33,19,47,64,30,71,16,27,28,62,23,37,26,41,69,70,61,46,5,x2,heads
197,33,37,49,62,7,5,25,15,39,11,16,42,55,80,1,21,78,53,14,79,reg,heads
198,56,65,41,15,64,37,43,69,9,21,33,67,25,40,73,75,48,4,5,30,reg,evens
199,47,64,3,68,17,11,24,52,15,32,34,22,50,46,37,59,33,4,25,71,x2,heads
200,35,21,28,73,9,42,55,46,6,22,10,14,30,80,31,8,65,64,34,19,reg,heads
201,35,74,5,73,23,11,31,64,44,7,37,58,75,22,71,4,63,55,38,76,x5,evens
202,62,21,68,13,3,59,45,4,50,34,30,66,29,70,35,32,28,69,56,2,x2,heads
203,54,69,47,72,48,1,36,67,74,37,76,62,13,52,79,61,22,39,28,25,reg,tails
204,6,71,80,22,53,25,56,75,47,30,5,69,74,24,55,77,66,70,48,21,x3,tails
205,74,15,48,5,16,44,49,13,37,79,47,70,71,65,55,35,26,66,33,23,x2,tails
206,67,10,48,11,71,46,4,63,53,21,9,28,20,1,58,26,60,72,62,54,x2,tails
